Data Provider Id|Comment|Store Time
-1|Data provider used for testing of invalid data|2007-04-19T16:00:00Z
0|WDB Test Data|2006-11-21T14:04:00Z
1|WDB Test Writer|2006-11-21T14:04:00Z
10|WDB Call  Interface Test Process 0|2007-04-19T16:00:00Z
11|WDB Call  Interface Test Process 1|2007-04-19T16:00:00Z
12|WDB Call  Interface Test Process 2|2007-04-19T16:00:00Z
13|WDB Call  Interface Test Process 3|2007-04-19T16:00:00Z
14|WDB Call  Interface Test Process 4|2007-04-19T16:00:00Z
20|WDB CleanDB Test Process|2007-04-19T16:00:00Z
30|WDB GribLoad Test Process|2007-09-06T14:00:00Z
40|WDB FeltLoad Test Process|2007-09-06T14:00:00Z
50|WDB XmlLoad Test Process|2007-09-06T14:00:00Z
100|Data received from WDB loading programs|2008-08-06T12:00:00Z
101|Data received from WDB GribLoad|2008-08-06T12:00:00Z
102|Data received from WDB FeltLoad|2008-08-06T12:00:00Z
103|Data received from WDB XmlLoad|2008-08-06T12:00:00Z
5000|Met.No Ensembler Process|2008-05-13T12:00:00Z
10000|Proff Felter|2008-06-26T12:00:00Z
10001|proff.raw|2008-06-26T12:00:00Z
10010|proff.std|2008-06-26T12:00:00Z
10011|proff.h8|2008-06-26T12:00:00Z
10012|proff.h8h4|2008-06-26T12:00:00Z
10013|proff.h8um4|2008-06-26T12:00:00Z
10014|proff.h4|2008-06-26T12:00:00Z
10015|proff.um4|2008-06-26T12:00:00Z
10016|proff.approved|2008-06-26T12:00:00Z
88001|Hirlam Model, Norway|2008-06-26T12:00:00Z
88067|WAM Model, Norway|2008-06-26T12:00:00Z
88501|Model derived from ECMWF ensemble for yr.no by the pgen_probability program|2008-06-26T12:00:00Z
88502|Percentile parameters derived from ECMWF ensemble forecasts using the derived_product_eps SMS-job|2008-06-26T12:00:00Z
98100|ECMWF Atmospheric Model Group|2008-06-26T12:00:00Z
98133|ECMWF Atmospheric Model IFS Cycle 35r1|2008-06-26T12:00:00Z
98134|ECMWF Atmospheric Model IFS Cycle 35r2|2009-03-09T12:00:00Z
1000000|Base writer for wci|2008-06-26T12:00:00Z
88903|Arctic model|2008-06-26T12:00:00Z
88910|Nordic Model|2008-06-26T12:00:00Z
88915|North Sea-Skagen|2008-06-26T12:00:00Z
88916|Barents Sea|2008-06-26T12:00:00Z
88919|Oslo Fjord|2008-06-26T12:00:00Z
88960|WAM Model, Norway|2008-06-26T12:00:00Z
88948|North Sea Model|2008-06-26T12:00:00Z
