ParameterId|ParameterFunction|Value Domain|Unit|QuantityType
9|stddev|height|m|scalar
15|max|air|K|scalar
16|min|air|K|scalar
61|accumulated|precipitation|kg/m2|scalar
62|accumulated|large scale precipitation|kg/m2|scalar
63|accumulated|convective precipitation|kg/m2|scalar
65|accumulated|water equivalent snow|kg/m2|scalar
103|mean|wind waves|s|scalar
106|mean|swell waves|s|scalar
108|mean|primary waves|s|scalar
110|mean|secondary waves|s|scalar
111|accumulated|short wave|W/m2|scalar
112|accumulated|long wave|W/m2|scalar
113|accumulated|top atmosphere short-wave |W/m2|scalar
114|accumulated|top atmosphere long-wave |W/m2|scalar
142|accumulated|large scale precipitation|m|scalar
143|accumulated|convective precipitation|m|scalar
151|mean|sea level|Pa|scalar
189|accumulated|sunshine|s|scalar
700|10th percentile|air|K|scalar
701|25th percentile|air|K|scalar
702|50th percentile|air|K|scalar
703|75th percentile|air|K|scalar
704|90th percentile|air|K|scalar
710|10th percentile accumulated|precipitation|kg/m2|scalar
711|25th percentile accumulated|precipitation|kg/m2|scalar
712|50th percentile accumulated|precipitation|kg/m2|scalar
713|75th percentile accumulated|precipitation|kg/m2|scalar
714|90th percentile accumulated|precipitation|kg/m2|scalar
10201|peak|wave|s|scalar
10202|significant|wave|s|scalar
10203|peak|wave|rad|scalar
10204|mean|wave|rad|scalar
10210|significant|wind wave|m|scalar
10211|peak|wind wave|s|scalar
10212|peak|wind wave|rad|scalar
10214|mean|wind wave|rad|scalar
10220|significant|swell wave|m|scalar
10221|peak|swell wave|s|scalar
10222|peak|swell wave|rad|scalar
10223|mean|swell wave|s|scalar
10224|mean|swell wave|rad|scalar
