Id|Value Domain|Unit|QuantityType
1|air|Pa|scalar
3|air|Pa/s|scalar
4|air|K.m2/(kg.s)|scalar
5|icao standard atmospheric reference|m|scalar
6|geopotential height|m2/s2|scalar
8|geometrical height|m|scalar
10|ozone dobson|{DU}|scalar
11|air|K|scalar
1105|kalman air|K|scalar
12|virtual air|K|scalar
13|potential air|K|scalar
14|pseudo-abiadetic potential air|K|scalar
17|dew point|K|scalar
18|dew point depression|K|scalar
19|air|K/m|scalar
20|visibility|m|scalar
24|parcel lifted index|K|scalar
25|air anomaly|K|scalar
26|air anomaly|Pa|scalar
27|geopotential height anomaly|m2/s2|scalar
32|wind|m/s|scalar
33|wind|m/s|u vector
34|wind|m/s|v vector
35|stream function|m2/s|scalar
36|potential air|m2/s|scalar
37|montgomery stream function|m2/s2|scalar
38|sigma coordinate vertical|/s|scalar
39|vertical|Pa/s|scalar
40|vertical|m/s|scalar
41|absolute vorticity|/s|scalar
42|absolute divergence|/s|scalar
43|relative vorticity|/s|scalar
44|relative divergence|/s|scalar
45|vertical shear|/s|u vector
46|vertical shear|/s|v vector
48|current|m/s|scalar
49|current|m/s|u vector
50|current|m/s|v vector
54|precipitable water|kg/m2|scalar
55|vapour|Pa|scalar
56|saturation deficit|Pa|scalar
57|evaporation|kg/m2|scalar
58|cloud ice|kg/m2|scalar
59|precipitation|kg/(m2.s)|scalar
64|water equivalent snow|kg/(m2.s)|scalar
66|snow depth|m|scalar
67|mixed layer depth|m|scalar
68|transient thermocline depth|m|scalar
69|main thermocline depth|m|scalar
70|main thermocline anomaly|m|scalar
76|cloud water|kg/m2|scalar
77|best lifted index|K|scalar
78|convective snow|kg/m2|scalar
79|large scale snow|kg/m2|scalar
80|precipitable water|K|scalar
82|deviation from mean sea level|m|scalar
83|surface roughness|m|scalar
85|soil|K|scalar
86|soil|kg/m2|scalar
88|water salinity|kg/kg|scalar
89|water|kg/m3|scalar
90|water run-off|kg/m2|scalar
92|ice thickness|m|scalar
94|ice drift|m/s|scalar
95|ice drift|m/s|u vector
96|ice drift|m/s|v vector
97|ice growth rate|m/s|scalar
98|ice divergence|/s|scalar
99|snow melt|kg/m2|scalar
100|significant combined wind waves and swell height|m|scalar
102|significant wind waves height|m|scalar
105|significant swell waves height|m|scalar
115|long-wave|W/m2|scalar
116|short-wave|W/m2|scalar
117|global|W/m2|scalar
118|brightness|K|scalar
119|wave number|W/(m.sr)|u vector
120|wave number|W/(m.sr)|v vector
121|latent heat|W/m2|scalar
122|sensible heat|W/m2|scalar
123|boundary layer dissipation|W/m2|scalar
124|momentum flux|N/m2|u vector
125|momentum flux|N/m2|v vector
126|wind mixing|J|scalar
140|land|K|scalar
144|snow fall|m|scalar
189|sunshine|s|scalar
228|rain|kg/m2|scalar
254|undefined|%|scalar
351|geometrical sea depth|m|scalar
1101|model topography|m|scalar
6100|total precipitation|mm|scalar
